Rank,Name,Chip Count,Trend
1,Ryan Leng,"3,805,000","+905,000"
2,Terry Fleischer,"3,000,000","+1,750,000"
3,Matt Affleck,"2,745,000","+1,645,000"
4,Walter Connors,"1,440,000","-960,000"
5,David Jackson,"1,235,000","-145,000"
6,Brian Battistone,"1,150,000","-150,000"
7,Upeshka De Silva,"1,070,000","+520,000"
8,Martin Carnero,"1,070,000","+220,000"
9,Maksym Lavrov,"1,020,000","-30,000"
10,Yaniv Livnat,"880,000","+55,000"
11,Jacob Mendelsohn,"735,000","-265,000"
12,Landon Brown,0,"-1,250,000"
13,Julio Carpes,0,"-1,300,000"
14,Jesse Kertland,0,"-300,000"
15,Mark Dube,0,"-410,000"
16,Jason DeWitt,0,"-375,000"
17,Mark Lilly,0,"-350,000"
18,Phuoc Nguyen,0,"-600,000"
19,Makoto Yoshimichi,0,"-640,000"
20,Zichuan Huang,0,"-700,000"
21,Mitchell Halverson,0,"-640,000"
22,Sergei Kislinskii,0,"-120,000"
23,Hong Zhu,0,"-130,000"
24,Michal Nahum,0,"-150,000"
25,Fred Li,0,"-590,000"
26,Mark Fry,0,"-500,000"
27,Cory Skolnik,0,"-300,000"
28,Eric Baldwin,0,"-260,000"
29,Vid Zagar,0,"-500,000"
30,Zachary Schwartz,0,"-375,000"
31,Kfir Nahum,0,"-430,000"
32,Shadd Baudoin,0,"-146,000"
33,Anthony Marquez,0,"-150,000"
34,Calvin Anderson,0,"-210,000"
35,Jeff Madsen,0,"-34,000"
36,Ayaka Muraishi,0,"-280,000"
37,Jared Jaffee,0,"-277,000"
